245,365,250,369
286,366,289,370
286,358,292,369
247,363,252,367
243,367,246,369
295,353,297,357
296,351,297,356
175,316,178,319
245,361,247,364
245,360,248,362
175,315,179,318
175,315,179,318
192,339,195,340
183,323,190,332
246,366,249,367
176,314,179,317
248,366,251,367
250,357,253,358
250,355,259,358
202,355,207,359
181,318,182,321
251,356,255,357
186,336,193,341
186,337,189,338
261,355,265,357
259,353,268,357
247,354,254,358
247,355,250,359
245,356,249,359
244,356,248,359
242,357,246,359
241,357,244,360
239,358,243,361
239,358,242,360
317,354,319,360
236,358,239,360
235,358,238,361
317,363,319,366
232,359,236,362
309,395,312,398
==============End of a case==============
221,352,224,354
223,357,226,359
214,348,218,351
213,365,216,368
204,361,208,369
302,355,309,358
308,352,315,357
309,355,314,357
178,389,184,392
178,391,184,393
175,393,179,394
187,393,190,395
177,395,181,396
172,481,213,483
==============End of a case==============
227,353,231,356
227,339,238,348
226,339,236,348
241,350,254,355
219,344,224,351
314,340,316,343
240,350,244,352
309,338,317,347
299,362,303,365
255,364,258,367
273,367,276,370
==============End of a case==============
206,383,215,387
172,338,185,359
272,408,275,410
273,405,275,410
273,403,276,407
352,327,353,330
269,399,278,406
271,400,279,407
300,400,304,402
253,401,255,404
298,401,303,404
296,402,300,405
266,403,269,405
214,411,217,414
275,404,278,406
288,422,291,425
285,404,289,406
289,402,292,405
315,400,318,406
273,400,277,402
263,405,266,407
271,402,288,405
301,409,304,412
222,409,225,411
233,409,238,414
285,419,289,422
253,400,256,403
293,408,297,409
206,397,209,400
285,408,288,412
281,396,285,397
267,411,271,415
256,410,260,414
303,398,306,401
233,402,236,405
320,392,330,395
==============End of a case==============
